"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","135","","tests.WikipediaTests","","tests.WikipediaTests","logOutTest","TC-3, Log out.",""
"broken","Tue Aug 24 11:11:51 GMT 2021","Tue Aug 24 11:11:51 GMT 2021","152","","tests.WikipediaTests","","tests.WikipediaTests","newPage","TC-6, Data entry.",""
"broken","Tue Aug 24 11:11:51 GMT 2021","Tue Aug 24 11:11:51 GMT 2021","163","","tests.WikipediaTests","","tests.WikipediaTests","deletePage","TC-8, Data delete.",""
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:51 GMT 2021","142","","tests.WikipediaTests","","tests.WikipediaTests","editPage","TC-7, Data edit.",""
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","151","","tests.WikipediaTests","","tests.WikipediaTests","PrivacyPolicyTest","TC-4, Privacy and policy.",""
"broken","Tue Aug 24 11:11:48 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","1703","","tests.WikipediaTests","","tests.WikipediaTests","dataListTest","TC-5, Listing data from a table.",""
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","169","","tests.WikipediaTests","","tests.WikipediaTests","logInInValidTest","TC-2, Log in with invalid datas.",""
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","152","","tests.WikipediaTests","","tests.WikipediaTests","writeFromFile","TC-10, Write data from file.",""
"broken","Tue Aug 24 11:11:50 GMT 2021","Tue Aug 24 11:11:50 GMT 2021","157","","tests.WikipediaTests","","tests.WikipediaTests","writeToFile","TC-9, Save data to file.",""
"broken","Tue Aug 24 11:11:51 GMT 2021","Tue Aug 24 11:11:51 GMT 2021","153","","tests.WikipediaTests","","tests.WikipediaTests","logInValidTest","TC-1, Log in with valid datas.",""
